"ID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTVIEWEDDATE","LASTREFERENCEDDATE","AUTHORIZED_SIGNER__C","SCHOOL_PID__C","GRADE_NUMBER__C","STATUS__C","LAST_FOUR_SSN__C","BIRTHDATE__C","SEX__C","CONTACT_PHONE__C","CONTACT_EMAIL__C","ADDRESS_STREET__C","ADDRESS_CITY__C","ADDRESS_STATE__C","ADDRESS_ZIP__C","NAME_FIRST__C","NAME_MIDDLE__C","NAME_LAST__C","RELATION_TO_SIGNER__C"
"a03j00000032go3AAA","false","AW762","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","2015-03-05T20:44:33.000Z","2015-03-05T20:44:33.000Z","a02j0000004H1F3AAK","a01j0000003FWppAAG","4.0","Active","2244.0","2005-03-11","Female","5550001122","welchpjw567@gmail.com","761 Dark Chocolate Place","Clinton","IL","61727.0","Ann","Matt","Welch","Child"
"a03j00000032gntAAA","false","TB456","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","2015-03-24T09:38:57.000Z","2015-03-24T09:38:57.000Z","a02j0000004H1F0AAK","a01j0000003FWppAAG","4.0","Active","2234.0","2005-02-02","Female","5550001112","wjones@gmail.com","123 Sugar Plum St","Clinton","IL","61727.0","Taylor","June","Bennett","Grandchild"
"a03j00000032gnsAAA","false","CJ123","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","2015-03-24T09:46:04.000Z","2015-03-24T09:46:04.000Z","a02j0000004H1F0AAK","a01j0000003FWpoAAG","3.0","Active","2233.0","2006-01-01","Female","5550001111","wjonesa@gmail.com","123 Sugar Plum St","Clinton","IL","61727.0","Carly","Alice","Jones","Grandchild"
"a03j00000032go8AAA","false","JG663","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F5AAK","a01j0000003FWpsAAG","9.0","Active","2249.0","2000-08-04","Female","5550001127","jean.gillespie@hotmail.com","4242 Red Licorice Lane","Clinton","IL","61727.0","Jean","","Gillespie","Parent"
"a03j00000032goAAAQ","false","JG208","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F5AAK","a01j0000003FWpsAAG","11.0","Active","2251.0","1998-10-02","Female","5550001129","jan.gillespie@hotmail.com","4242 Red Licorice Lane","Clinton","IL","61727.0","Jan","Yellow","Gillespie","Parent"
"a03j00000032go4AAA","false","DG562","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F4AAK","a01j0000003FWpqAAG","5.0","Active","2245.0","2004-04-09","Female","5550001123","gholsonpdg562@gmail.com","2599 Lollipop Road","Clinton","IL","61727.0","Debbie","Anna","Gholson","Parent"
"a03j00000032go0AAA","false","JW567","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F3AAK","a01j0000003FWpsAAG","11.0","Active","2241.0","1998-09-16","Female","5550001119","jane.welch@hotmail.com","761 Dark Chocolate Place","Clinton","IL","61727.0","Jane","Bob","Welch","Child"
"a03j00000032goEAAQ","false","JG876","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F5AAK","a01j0000003FWpoAAG","3.0","Active","2255.0","2006-12-19","Female","5550001133","gillespiepjg663@gmail.com","501 Black Licorice Place","Clinton","IL","61727.0","Joy","","Gillespie","Guardian"
"a03j00000032go1AAA","false","MW901","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F3AAK","a01j0000003FWpsAAG","12.0","Active","2242.0","1997-10-18","Male","5550001120","mark.welch@hotmail.com","2345 Carries Avenue","Clinton","IL","61727.0","Mark","Albert","Welch","Child"
"a03j00000032gnzAAA","false","TB297","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F2AAK","a01j0000003FWpsAAG","10.0","Active","2240.0","1999-08-15","Female","5550001118","trisha.benedict@hotmail.com","9898 Powder Sugar Trace","Clinton","IL","61727.0","Trisha","Billy","Benedict","Other"
"a03j00000032gnuAAA","false","LW738","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F1AAK","a01j0000003FWpqAAG","5.0","Active","2235.0","2004-03-06","Male","5550001113","wertsplw738@gmail.com","555 Maple Syrup Lane","Clinton","IL","61727.0","Luke","","Werts","Family"
"a03j00000032goBAAQ","false","JG562","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F5AAK","a01j0000003FWpsAAG","12.0","Active","2252.0","1997-10-31","Female","5550001130","jill.gillespie@hotmail.com","4242 Red Licorice Lane","Clinton","IL","61727.0","Jill","","Gillespie","Parent"
"a03j00000032goDAAQ","false","JG190","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F5AAK","a01j0000003FWpsAAG","9.0","Active","2254.0","2000-05-24","Female","5550001132","jennifer.gillespie@hotmail.com","501 Black Licorice Place","Clinton","IL","61727.0","Jennifer","Blue","Gillespie","Guardian"
"a03j00000032go5AAA","false","BG725","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","005j000000Bq81NAAR","2015-03-05T20:39:27.000Z","","","a02j0000004H1F4AAK","a01j0000003FWpqAAG","6.0","Active","2246.0","2003-05-09","Male","5550001124","gholsonpdg562@gmail.com","2599 Lollipop Road","Clinton","IL","61727.0","Brad","Lee","Gholson","Parent"
