"ID","AUTHORIZED SIGNER","RELATION TO SIGNER","STUDENT ID","NAME LAST","NAME MIDDLE","NAME FIRST","USER GRADE","CONTACT EMAIL","SEX","CONTACT PHONE","BIRTHDATE","LAST 4 SSN DIDGITS","ADDRESS STREET","ADDRESS CITY","ADDRESS STATE","ADDRESS ZIP","STATUS","CONTRACT START DATE","LIBRARY CODE","DISTRICT TYPE","TIMEZONE","SCHOOL PID","STATUS"
"a03j00000032gnsAAA","a02j0000004H1F0AAK","Grandchild","CJ123","Jones","Alice","Carly","03","WJonesa@gmail.com","Female","5550001111","1/1/2006","2233","123 Sugar Plum St","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpoAAG","Item Created"
"a03j00000032gntAAA","a02j0000004H1F0AAK","Grandchild","TB456","Bennett","June","Taylor","04","WJones@gmail.com","Female","5550001112","2/2/2005","2234","123 Sugar Plum St","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWppAAG","Item Created"
"a03j00000032gnuAAA","a02j0000004H1F1AAK","Family","LW738","Werts","","Luke","05","WertsPLW738@gmail.com","Male","5550001113","3/6/2004","2235","555 Maple Syrup Lane","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpqAAG","Item Created"
"a03j00000032gnvAAA","a02j0000004H1F1AAK","Family","MW780","Werts","","Marc","06","WertsPLW738@gmail.com","Male","5550001114","4/8/2003","2236","555 Maple Syrup Lane","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpqAAG","Item Created"
"a03j00000032gnwAAA","a02j0000004H1F1AAK","Parent","JW562","Werts","","Jessica","07","WertsPLW738@gmail.com","Female","5550001115","5/10/2002","2237","3247 Gumdrop Road","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWprAAG","Item Created"
"a03j00000032gnxAAA","a02j0000004H1F2AAK","Parent","JB672","Benedict","Sue","Justin","08","Benedict.Family@gmail.com","Male","5550001116","6/11/2001","2238","9898 Powder Sugar Trace","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWprAAG","Item Created"
"a03j00000032gnyAAA","a02j0000004H1F2AAK","Parent","LB888","Benedict","","Logan","09","Logan.Benedict@hotmail.com","Male","5550001117","7/13/2000","2239","9898 Powder Sugar Trace","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpsAAG","Item Created"
"a03j00000032gnzAAA","a02j0000004H1F2AAK","Other","TB297","Benedict","Billy","Trisha","10","Trisha.Benedict@hotmail.com","Female","5550001118","8/15/1999","2240","9898 Powder Sugar Trace","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpsAAG","Item Created"
"a03j00000032go0AAA","a02j0000004H1F3AAK","Child","JW567","Welch","Bob","Jane","11","Jane.Welch@hotmail.com","Female","5550001119","9/16/1998","2241","761 Dark Chocolate Place","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpsAAG","Item Created"
"a03j00000032go1AAA","a02j0000004H1F3AAK","Child","MW901","Welch","Albert","Mark","12","Mark.Welch@hotmail.com","Male","5550001120","10/18/1997","2242","2345 Carries Avenue","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpsAAG","Item Created"
"a03j00000032go2AAA","a02j0000004H1F3AAK","Child","KW876","Welch","","Kurt","03","WelchPJW567@gmail.com","Male","5550001121","2/10/2006","2243","761 Dark Chocolate Place","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpoAAG","Item Created"
"a03j00000032go3AAA","a02j0000004H1F3AAK","Child","AW762","Welch","Matt","Ann","04","WelchPJW567@gmail.com","Female","5550001122","3/11/2005","2244","761 Dark Chocolate Place","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWppAAG","Item Created"
"a03j00000032go4AAA","a02j0000004H1F4AAK","Parent","DG562","Gholson","Anna","Debbie","05","GholsonPDG562@gmail.com","Female","5550001123","4/9/2004","2245","2599 Lollipop Road","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpqAAG","Item Created"
"a03j00000032go5AAA","a02j0000004H1F4AAK","Parent","BG725","Gholson","Lee","Brad","06","GholsonPDG562@gmail.com","Male","5550001124","5/9/2003","2246","2599 Lollipop Road","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpqAAG","Item Created"
"a03j00000032go6AAA","a02j0000004H1F4AAK","Parent","SG188","Gholson","","Steve","07","GholsonPDG562@gmail.com","Male","5550001125","6/7/2002","2247","2599 Lollipop Road","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWprAAG","Item Created"
"a03j00000032go7AAA","a02j0000004H1F4AAK","Parent","JG087","Gholson","Michael","Jeff","08","GholsonPDG562@gmail.com","Male","5550001126","7/6/2001","2248","2599 Lollipop Road","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWprAAG","Item Created"
"a03j00000032go8AAA","a02j0000004H1F5AAK","Parent","JG663","Gillespie","","Jean","09","Jean.Gillespie@hotmail.com","Female","5550001127","8/4/2000","2249","4242 Red Licorice Lane","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpsAAG","Item Created"
"a03j00000032go9AAA","a02j0000004H1F5AAK","Parent","JG524","Gillespie","Brown","Julie","10","Julie.Gillespie@hotmail.com","Female","5550001128","9/3/1999","2250","4242 Red Licorice Lane","Clinton","IL","61727","Active","7/1/2015","iComply","Public","Central","a01j0000003FWpsAAG","Item Created"
